"check","value","interpretation"
"canonical_complete_pairs_48h",4690,"frozen crossover-censored denominator"
"canonical_complete_pairs_7d",4202,"frozen crossover-censored denominator"
"p_f_pairs_48h",5428,"current P-F denominator"
"p_f_pairs_7d",5428,"current P-F denominator"
"p_f_excess_pairs_48h",738,"should be zero if P-F preserves frozen censoring"
"p_f_excess_pairs_7d",1226,"should be zero if P-F preserves frozen censoring"
"matched_pairs",5428,"frozen matched pairs"
"unique_controls",2269,"matching with replacement"
"controls_reused",1127,"random pair folds can place a reused control in multiple folds"
"max_control_reuse",23,"random pair folds can leak a repeated control outcome"
"step1_tests",96,"expected 24 tests x 4 outcomes = 96"
"step1_missing_or_global_p",0,"should be zero"
"step1_missing_rd_global_p",0,"should be zero"
